,Date,Close,Open,High,Low,Volume,Change,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
82,28/01/2022,34725.47,34135.24,34731.77,33807.51,56844000000,0.02,924.2599999999948,-590.2300000000032,35169.13285714285,35134.549999999996,34675.164761904765,283.28504888863097,762.8133196438796
83,27/01/2022,34160.78,34261.75,34773.32,34007.78,52778000000,0.0,765.5400000000009,100.97000000000116,35036.22571428572,35079.30071428572,34687.93523809523,477.5882801415836,751.2137679423313
84,26/01/2022,34168.09,34520.82,34815.67,33876.48,54931000000,0.0,939.189999999995,352.7300000000032,34904.561428571425,35020.67571428571,34693.141904761906,577.0601994428109,747.0019482478707
85,25/01/2022,34297.73,34186.64,34591.04,33545.52,52219000000,0.0,1045.520000000004,-111.09000000000378,34788.357142857145,35001.50142857143,34744.28,609.5118543478037,674.6404269756749
86,24/01/2022,34364.5,34070.61,34420.99,33150.33,67812000000,0.0,1270.6599999999962,-293.8899999999994,34607.66714285714,34974.81857142857,34802.9819047619,495.46368887184383,573.3429177256027
87,21/01/2022,34265.37,34701.69,34896.67,34229.55,52388000000,-0.01,667.1199999999953,436.3199999999997,34444.82857142857,34905.08857142857,34834.82761904762,357.8490536259241,518.9816120913747
88,20/01/2022,34715.39,35102.66,35490.2,34670.12,36907000000,-0.01,820.0799999999945,387.2700000000041,34385.33285714286,34829.89785714285,34865.12333333333,239.70426005912475,490.4500921635612
89,19/01/2022,35028.65,35412.3,35547.83,35015.49,39308000000,-0.01,532.3400000000038,383.65000000000146,34428.64428571428,34798.88857142857,34899.2480952381,323.9807877975505,474.7209762861763
90,18/01/2022,35368.47,35661.76,35661.76,35262.02,42726000000,-0.02,399.74000000000524,293.2900000000009,34601.171428571426,34818.69857142858,34919.92428571429,453.3106178780399,485.65240484900573
91,14/01/2022,35911.81,35996.43,35996.43,35641.49,39647000000,-0.01,354.9400000000023,84.62000000000262,34850.27428571428,34877.41785714286,34963.875238095236,623.0023280817313,531.774747930075
92,13/01/2022,36113.62,36312.49,36513.88,36044.22,34974000000,0.0,469.6599999999962,198.86999999999534,35109.68714285714,34949.022142857146,35037.56333333333,724.3920897026935,579.025153549681
93,12/1/2022,36290.32,36336.16,36453.49,36168.15,31786000000,0.0,285.3399999999965,45.84000000000378,35384.80428571429,34996.235714285714,35111.480476190474,759.0813929976622,635.2307047007831
94,11/1/2022,36252.02,36058.85,36271.47,35769.38,36319000000,0.01,502.0900000000038,-193.16999999999825,35668.611428571436,35056.72,35159.59619047619,631.4443604264187,682.116020919205
95,10/1/2022,36068.87,36175.21,36175.21,35639.91,44030000000,0.0,535.2999999999956,106.33999999999651,35861.96571428572,35123.64928571428,35173.92047619048,479.9664146881745,698.4943480334315
96,7/1/2022,36231.66,36249.59,36382.84,36111.53,36142000000,0.0,271.3099999999977,17.929999999993015,36033.82428571429,35231.23428571429,35210.53380952381,320.862836887185,733.6589432663151
97,6/1/2022,36236.47,36409.05,36464.19,36200.68,39019000000,0.0,263.51000000000204,172.58000000000175,36157.82428571429,35379.49785714286,35265.07380952381,134.44622256486943,766.1895931912949
98,5/1/2022,36407.11,36722.6,36952.65,36400.39,46846000000,-0.01,552.260000000002,315.48999999999796,36228.58142857143,35539.42785714286,35327.805714285714,111.82504660262127,804.1079977376104
99,4/1/2022,36799.65,36636.0,36934.84,36636.0,43508000000,0.01,298.8399999999965,-163.65000000000146,36326.58571428572,35718.13642857143,35408.21,231.1919654644169,863.5803912780025
100,3/1/2022,36585.06,36321.59,36595.82,36246.45,34793000000,0.01,349.3700000000026,-263.47000000000116,36368.69142857143,35876.74785714286,35453.72095238095,249.59362488055453,900.2224038974541
101,31/12/2021,36338.3,36385.85,36484.94,36303.97,21821000000,0.0,180.97000000000116,47.549999999995634,36381.01714285714,36024.81428571429,35498.152380952386,244.95911888287011,920.5074695399853
102,30/12/2021,36398.08,36522.48,36679.44,36372.13,20764000000,0.0,307.31000000000495,124.40000000000146,36428.04714285715,36145.006428571425,35558.44857142858,203.06090036539936,936.6437796316754
103,29/12/2021,36488.63,36421.14,36571.55,36396.19,21440000000,0.0,175.36000000000058,-67.48999999999796,36464.75714285714,36249.290714285715,35642.40857142857,183.97073116089535,937.2667889788378
104,28/12/2021,36398.21,36302.99,36527.26,36302.99,23909000000,0.0,224.27000000000407,-95.22000000000116,36487.862857142856,36322.84357142857,35748.95285714286,158.9799588749321,886.1999737368877
105,27/12/2021,36302.38,35954.48,36306.61,35954.48,25026000000,0.01,352.1299999999974,-347.8999999999942,36472.90142857143,36350.741428571426,35850.58571428571,172.22258847496647,815.390952479566
